BusinessPartner,AddressID,Person,OrdinalNumber,EmailAddress,IsDefaultEmailAddress,ValidityStartDate,ValidityEndDate
l-23744656,l-23744656,l-23744656,656,EmailAddress-23744656,true,2019-02-28,2002-02-27
l-23744657,l-23744657,l-23744657,657,EmailAddress-23744657,false,2019-07-17,2021-11-10
l-23744658,l-23744658,l-23744658,658,EmailAddress-23744658,true,2021-11-26,2002-04-03
l-23744659,l-23744659,l-23744659,659,EmailAddress-23744659,false,2000-10-25,2006-04-15
l-23744660,l-23744660,l-23744660,660,EmailAddress-23744660,true,2005-06-28,2003-08-02
l-23744661,l-23744661,l-23744661,661,EmailAddress-23744661,false,2008-08-13,2023-09-21
l-23744662,l-23744662,l-23744662,662,EmailAddress-23744662,true,2014-12-08,2013-05-07
l-23744663,l-23744663,l-23744663,663,EmailAddress-23744663,false,2017-02-03,2003-02-17
l-23744664,l-23744664,l-23744664,664,EmailAddress-23744664,true,2021-03-01,2005-01-30
l-23744665,l-23744665,l-23744665,665,EmailAddress-23744665,false,2020-07-02,2001-12-12
