BusinessPartner,AddressID,Person,OrdinalNumber,DestinationLocationCountry,InternationalPhoneNumber,IsDefaultPhoneNumber,PhoneNumber,PhoneNumberExtension,PhoneNumberType,ValidityStartDate,ValidityEndDate
e-31212501,e-31212501,e-31212501,501,501,ernationalPhoneNumber-31212501,false,PhoneNumber-31212501,n-31212501,1,2001-10-07,2005-12-22
e-31212502,e-31212502,e-31212502,502,502,ernationalPhoneNumber-31212502,true,PhoneNumber-31212502,n-31212502,2,2011-10-12,2000-07-17
e-31212503,e-31212503,e-31212503,503,503,ernationalPhoneNumber-31212503,false,PhoneNumber-31212503,n-31212503,3,2006-02-12,2012-06-27
e-31212504,e-31212504,e-31212504,504,504,ernationalPhoneNumber-31212504,true,PhoneNumber-31212504,n-31212504,4,2014-02-03,2014-10-29
e-31212505,e-31212505,e-31212505,505,505,ernationalPhoneNumber-31212505,false,PhoneNumber-31212505,n-31212505,5,2017-01-11,2020-10-14
e-31212506,e-31212506,e-31212506,506,506,ernationalPhoneNumber-31212506,true,PhoneNumber-31212506,n-31212506,6,2010-03-23,2021-04-29
e-31212507,e-31212507,e-31212507,507,507,ernationalPhoneNumber-31212507,false,PhoneNumber-31212507,n-31212507,7,2007-09-18,2016-06-01
e-31212508,e-31212508,e-31212508,508,508,ernationalPhoneNumber-31212508,true,PhoneNumber-31212508,n-31212508,8,2012-10-11,2008-10-23
e-31212509,e-31212509,e-31212509,509,509,ernationalPhoneNumber-31212509,false,PhoneNumber-31212509,n-31212509,9,2004-09-15,2020-10-07
e-31212510,e-31212510,e-31212510,510,510,ernationalPhoneNumber-31212510,true,PhoneNumber-31212510,n-31212510,0,2004-08-12,2010-05-12
