RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,AddressID,AddressNumber,AdditionalStreetPrefixName,AdditionalStreetSuffixName,AddressTimeZone,CareOfName,CityCode,CityName,CompanyPostalCode,Country,County,DeliveryServiceNumber,DeliveryServiceTypeCode,District,FormOfAddress,FullName,HomeCityName,HouseNumber,HouseNumberSupplementText,Language,POBox,POBoxDeviatingCityName,POBoxDeviatingCountry,POBoxDeviatingRegion,POBoxIsWithoutNumber,POBoxLobbyName,POBoxPostalCode,Person,PostalCode,PrfrdCommMediumType,Region,StreetName,StreetPrefixName,StreetSuffixName,TaxJurisdiction,TransportZone,AddressRepresentationCode,ContactPersonBuilding,ContactPersonPrfrdCommMedium,ContactRelationshipDepartment,ContactRelationshipFunction,CorrespondenceShortName,Floor,InhouseMail,IsDefaultAddress,RoomNumber
ess-14856221,s-14856221,s-14856221,2023-05-01,s-14856221,r-14856221,AdditionalStreetPrefixName-14856221,AdditionalStreetSuffixName-14856221,856221,CareOfName-14856221,ode-14856221,CityName-14856221,e-14856221,221,County-14856221,r-14856221,6221,District-14856221,6221,FullName-14856221,HomeCityName-14856221,r-14856221,t-14856221,21,x-14856221,POBoxDeviatingCityName-14856221,221,221,false,POBoxLobbyName-14856221,e-14856221,n-14856221,e-14856221,221,221,StreetName-14856221,StreetPrefixName-14856221,StreetSuffixName-14856221,iction-14856221,e-14856221,1,g-14856221,221,ContactRelationshipDepartment-14856221,ContactRelationshipFunction-14856221,e-14856221,r-14856221,l-14856221,false,r-14856221
ess-14856222,s-14856222,s-14856222,2015-02-16,s-14856222,r-14856222,AdditionalStreetPrefixName-14856222,AdditionalStreetSuffixName-14856222,856222,CareOfName-14856222,ode-14856222,CityName-14856222,e-14856222,222,County-14856222,r-14856222,6222,District-14856222,6222,FullName-14856222,HomeCityName-14856222,r-14856222,t-14856222,22,x-14856222,POBoxDeviatingCityName-14856222,222,222,true,POBoxLobbyName-14856222,e-14856222,n-14856222,e-14856222,222,222,StreetName-14856222,StreetPrefixName-14856222,StreetSuffixName-14856222,iction-14856222,e-14856222,2,g-14856222,222,ContactRelationshipDepartment-14856222,ContactRelationshipFunction-14856222,e-14856222,r-14856222,l-14856222,true,r-14856222
ess-14856223,s-14856223,s-14856223,2015-04-02,s-14856223,r-14856223,AdditionalStreetPrefixName-14856223,AdditionalStreetSuffixName-14856223,856223,CareOfName-14856223,ode-14856223,CityName-14856223,e-14856223,223,County-14856223,r-14856223,6223,District-14856223,6223,FullName-14856223,HomeCityName-14856223,r-14856223,t-14856223,23,x-14856223,POBoxDeviatingCityName-14856223,223,223,false,POBoxLobbyName-14856223,e-14856223,n-14856223,e-14856223,223,223,StreetName-14856223,StreetPrefixName-14856223,StreetSuffixName-14856223,iction-14856223,e-14856223,3,g-14856223,223,ContactRelationshipDepartment-14856223,ContactRelationshipFunction-14856223,e-14856223,r-14856223,l-14856223,false,r-14856223
ess-14856224,s-14856224,s-14856224,2018-06-01,s-14856224,r-14856224,AdditionalStreetPrefixName-14856224,AdditionalStreetSuffixName-14856224,856224,CareOfName-14856224,ode-14856224,CityName-14856224,e-14856224,224,County-14856224,r-14856224,6224,District-14856224,6224,FullName-14856224,HomeCityName-14856224,r-14856224,t-14856224,24,x-14856224,POBoxDeviatingCityName-14856224,224,224,true,POBoxLobbyName-14856224,e-14856224,n-14856224,e-14856224,224,224,StreetName-14856224,StreetPrefixName-14856224,StreetSuffixName-14856224,iction-14856224,e-14856224,4,g-14856224,224,ContactRelationshipDepartment-14856224,ContactRelationshipFunction-14856224,e-14856224,r-14856224,l-14856224,true,r-14856224
ess-14856225,s-14856225,s-14856225,2001-05-14,s-14856225,r-14856225,AdditionalStreetPrefixName-14856225,AdditionalStreetSuffixName-14856225,856225,CareOfName-14856225,ode-14856225,CityName-14856225,e-14856225,225,County-14856225,r-14856225,6225,District-14856225,6225,FullName-14856225,HomeCityName-14856225,r-14856225,t-14856225,25,x-14856225,POBoxDeviatingCityName-14856225,225,225,false,POBoxLobbyName-14856225,e-14856225,n-14856225,e-14856225,225,225,StreetName-14856225,StreetPrefixName-14856225,StreetSuffixName-14856225,iction-14856225,e-14856225,5,g-14856225,225,ContactRelationshipDepartment-14856225,ContactRelationshipFunction-14856225,e-14856225,r-14856225,l-14856225,false,r-14856225
ess-14856226,s-14856226,s-14856226,2001-04-18,s-14856226,r-14856226,AdditionalStreetPrefixName-14856226,AdditionalStreetSuffixName-14856226,856226,CareOfName-14856226,ode-14856226,CityName-14856226,e-14856226,226,County-14856226,r-14856226,6226,District-14856226,6226,FullName-14856226,HomeCityName-14856226,r-14856226,t-14856226,26,x-14856226,POBoxDeviatingCityName-14856226,226,226,true,POBoxLobbyName-14856226,e-14856226,n-14856226,e-14856226,226,226,StreetName-14856226,StreetPrefixName-14856226,StreetSuffixName-14856226,iction-14856226,e-14856226,6,g-14856226,226,ContactRelationshipDepartment-14856226,ContactRelationshipFunction-14856226,e-14856226,r-14856226,l-14856226,true,r-14856226
ess-14856227,s-14856227,s-14856227,2011-12-07,s-14856227,r-14856227,AdditionalStreetPrefixName-14856227,AdditionalStreetSuffixName-14856227,856227,CareOfName-14856227,ode-14856227,CityName-14856227,e-14856227,227,County-14856227,r-14856227,6227,District-14856227,6227,FullName-14856227,HomeCityName-14856227,r-14856227,t-14856227,27,x-14856227,POBoxDeviatingCityName-14856227,227,227,false,POBoxLobbyName-14856227,e-14856227,n-14856227,e-14856227,227,227,StreetName-14856227,StreetPrefixName-14856227,StreetSuffixName-14856227,iction-14856227,e-14856227,7,g-14856227,227,ContactRelationshipDepartment-14856227,ContactRelationshipFunction-14856227,e-14856227,r-14856227,l-14856227,false,r-14856227
ess-14856228,s-14856228,s-14856228,2009-08-24,s-14856228,r-14856228,AdditionalStreetPrefixName-14856228,AdditionalStreetSuffixName-14856228,856228,CareOfName-14856228,ode-14856228,CityName-14856228,e-14856228,228,County-14856228,r-14856228,6228,District-14856228,6228,FullName-14856228,HomeCityName-14856228,r-14856228,t-14856228,28,x-14856228,POBoxDeviatingCityName-14856228,228,228,true,POBoxLobbyName-14856228,e-14856228,n-14856228,e-14856228,228,228,StreetName-14856228,StreetPrefixName-14856228,StreetSuffixName-14856228,iction-14856228,e-14856228,8,g-14856228,228,ContactRelationshipDepartment-14856228,ContactRelationshipFunction-14856228,e-14856228,r-14856228,l-14856228,true,r-14856228
ess-14856229,s-14856229,s-14856229,2005-04-01,s-14856229,r-14856229,AdditionalStreetPrefixName-14856229,AdditionalStreetSuffixName-14856229,856229,CareOfName-14856229,ode-14856229,CityName-14856229,e-14856229,229,County-14856229,r-14856229,6229,District-14856229,6229,FullName-14856229,HomeCityName-14856229,r-14856229,t-14856229,29,x-14856229,POBoxDeviatingCityName-14856229,229,229,false,POBoxLobbyName-14856229,e-14856229,n-14856229,e-14856229,229,229,StreetName-14856229,StreetPrefixName-14856229,StreetSuffixName-14856229,iction-14856229,e-14856229,9,g-14856229,229,ContactRelationshipDepartment-14856229,ContactRelationshipFunction-14856229,e-14856229,r-14856229,l-14856229,false,r-14856229
ess-14856230,s-14856230,s-14856230,2021-06-05,s-14856230,r-14856230,AdditionalStreetPrefixName-14856230,AdditionalStreetSuffixName-14856230,856230,CareOfName-14856230,ode-14856230,CityName-14856230,e-14856230,230,County-14856230,r-14856230,6230,District-14856230,6230,FullName-14856230,HomeCityName-14856230,r-14856230,t-14856230,30,x-14856230,POBoxDeviatingCityName-14856230,230,230,true,POBoxLobbyName-14856230,e-14856230,n-14856230,e-14856230,230,230,StreetName-14856230,StreetPrefixName-14856230,StreetSuffixName-14856230,iction-14856230,e-14856230,0,g-14856230,230,ContactRelationshipDepartment-14856230,ContactRelationshipFunction-14856230,e-14856230,r-14856230,l-14856230,true,r-14856230
