RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,ContactPersonAuthorityType,ContactPersonDepartment,ContactPersonDepartmentName,ContactPersonFunction,ContactPersonFunctionName,ContactPersonRemarkText,ContactPersonVIPType,EmailAddress,FaxNumber,FaxNumberExtension,PhoneNumber,PhoneNumberExtension,RelationshipCategory
ept-20455128,t-20455128,t-20455128,2009-10-05,8,5128,ContactPersonDepartmentName-20455128,5128,ContactPersonFunctionName-20455128,ContactPersonRemarkText-20455128,8,EmailAddress-20455128,FaxNumber-20455128,n-20455128,PhoneNumber-20455128,n-20455128,455128
ept-20455129,t-20455129,t-20455129,2019-03-18,9,5129,ContactPersonDepartmentName-20455129,5129,ContactPersonFunctionName-20455129,ContactPersonRemarkText-20455129,9,EmailAddress-20455129,FaxNumber-20455129,n-20455129,PhoneNumber-20455129,n-20455129,455129
ept-20455130,t-20455130,t-20455130,2003-10-24,0,5130,ContactPersonDepartmentName-20455130,5130,ContactPersonFunctionName-20455130,ContactPersonRemarkText-20455130,0,EmailAddress-20455130,FaxNumber-20455130,n-20455130,PhoneNumber-20455130,n-20455130,455130
ept-20455131,t-20455131,t-20455131,2017-08-25,1,5131,ContactPersonDepartmentName-20455131,5131,ContactPersonFunctionName-20455131,ContactPersonRemarkText-20455131,1,EmailAddress-20455131,FaxNumber-20455131,n-20455131,PhoneNumber-20455131,n-20455131,455131
ept-20455132,t-20455132,t-20455132,2019-10-11,2,5132,ContactPersonDepartmentName-20455132,5132,ContactPersonFunctionName-20455132,ContactPersonRemarkText-20455132,2,EmailAddress-20455132,FaxNumber-20455132,n-20455132,PhoneNumber-20455132,n-20455132,455132
ept-20455133,t-20455133,t-20455133,2012-11-22,3,5133,ContactPersonDepartmentName-20455133,5133,ContactPersonFunctionName-20455133,ContactPersonRemarkText-20455133,3,EmailAddress-20455133,FaxNumber-20455133,n-20455133,PhoneNumber-20455133,n-20455133,455133
ept-20455134,t-20455134,t-20455134,2013-05-18,4,5134,ContactPersonDepartmentName-20455134,5134,ContactPersonFunctionName-20455134,ContactPersonRemarkText-20455134,4,EmailAddress-20455134,FaxNumber-20455134,n-20455134,PhoneNumber-20455134,n-20455134,455134
ept-20455135,t-20455135,t-20455135,2023-02-21,5,5135,ContactPersonDepartmentName-20455135,5135,ContactPersonFunctionName-20455135,ContactPersonRemarkText-20455135,5,EmailAddress-20455135,FaxNumber-20455135,n-20455135,PhoneNumber-20455135,n-20455135,455135
ept-20455136,t-20455136,t-20455136,2006-09-27,6,5136,ContactPersonDepartmentName-20455136,5136,ContactPersonFunctionName-20455136,ContactPersonRemarkText-20455136,6,EmailAddress-20455136,FaxNumber-20455136,n-20455136,PhoneNumber-20455136,n-20455136,455136
ept-20455137,t-20455137,t-20455137,2005-11-26,7,5137,ContactPersonDepartmentName-20455137,5137,ContactPersonFunctionName-20455137,ContactPersonRemarkText-20455137,7,EmailAddress-20455137,FaxNumber-20455137,n-20455137,PhoneNumber-20455137,n-20455137,455137
