BusinessPartner,AddressID,AddressRepresentationCode,AddresseeFullName,AddressIDByExternalSystem,AddressPersonID,AddressSearchTerm1,AddressSearchTerm2,AddressTimeZone,CareOfName,CityName,CityNumber,CompanyPostalCode,Country,DeliveryServiceNumber,DeliveryServiceTypeCode,DistrictName,FormOfAddress,HouseNumber,HouseNumberSupplementText,Language,OrganizationName1,OrganizationName2,OrganizationName3,OrganizationName4,PersonFamilyName,PersonGivenName,POBox,POBoxDeviatingCityName,POBoxDeviatingCountry,POBoxDeviatingRegion,POBoxIsWithoutNumber,POBoxLobbyName,POBoxPostalCode,PostalCode,PrfrdCommMediumType,Region,SecondaryRegion,SecondaryRegionName,StreetName,StreetPrefixName1,StreetPrefixName2,StreetSuffixName1,StreetSuffixName2,TaxJurisdiction,TertiaryRegion,TertiaryRegionName,TransportZone,VillageName
n-29436188,n-29436188,8,AddresseeFullName-29436188,ernalSystem-29436188,D-29436188,SearchTerm1-29436188,SearchTerm2-29436188,436188,CareOfName-29436188,CityName-29436188,ber-29436188,e-29436188,188,r-29436188,6188,DistrictName-29436188,6188,r-29436188,t-29436188,88,OrganizationName1-29436188,OrganizationName2-29436188,OrganizationName3-29436188,OrganizationName4-29436188,PersonFamilyName-29436188,PersonGivenName-29436188,x-29436188,POBoxDeviatingCityName-29436188,188,188,true,POBoxLobbyName-29436188,e-29436188,e-29436188,188,188,29436188,SecondaryRegionName-29436188,StreetName-29436188,StreetPrefixName1-29436188,StreetPrefixName2-29436188,StreetSuffixName1-29436188,StreetSuffixName2-29436188,iction-29436188,29436188,TertiaryRegionName-29436188,e-29436188,VillageName-29436188
n-29436189,n-29436189,9,AddresseeFullName-29436189,ernalSystem-29436189,D-29436189,SearchTerm1-29436189,SearchTerm2-29436189,436189,CareOfName-29436189,CityName-29436189,ber-29436189,e-29436189,189,r-29436189,6189,DistrictName-29436189,6189,r-29436189,t-29436189,89,OrganizationName1-29436189,OrganizationName2-29436189,OrganizationName3-29436189,OrganizationName4-29436189,PersonFamilyName-29436189,PersonGivenName-29436189,x-29436189,POBoxDeviatingCityName-29436189,189,189,false,POBoxLobbyName-29436189,e-29436189,e-29436189,189,189,29436189,SecondaryRegionName-29436189,StreetName-29436189,StreetPrefixName1-29436189,StreetPrefixName2-29436189,StreetSuffixName1-29436189,StreetSuffixName2-29436189,iction-29436189,29436189,TertiaryRegionName-29436189,e-29436189,VillageName-29436189
n-29436190,n-29436190,0,AddresseeFullName-29436190,ernalSystem-29436190,D-29436190,SearchTerm1-29436190,SearchTerm2-29436190,436190,CareOfName-29436190,CityName-29436190,ber-29436190,e-29436190,190,r-29436190,6190,DistrictName-29436190,6190,r-29436190,t-29436190,90,OrganizationName1-29436190,OrganizationName2-29436190,OrganizationName3-29436190,OrganizationName4-29436190,PersonFamilyName-29436190,PersonGivenName-29436190,x-29436190,POBoxDeviatingCityName-29436190,190,190,true,POBoxLobbyName-29436190,e-29436190,e-29436190,190,190,29436190,SecondaryRegionName-29436190,StreetName-29436190,StreetPrefixName1-29436190,StreetPrefixName2-29436190,StreetSuffixName1-29436190,StreetSuffixName2-29436190,iction-29436190,29436190,TertiaryRegionName-29436190,e-29436190,VillageName-29436190
n-29436191,n-29436191,1,AddresseeFullName-29436191,ernalSystem-29436191,D-29436191,SearchTerm1-29436191,SearchTerm2-29436191,436191,CareOfName-29436191,CityName-29436191,ber-29436191,e-29436191,191,r-29436191,6191,DistrictName-29436191,6191,r-29436191,t-29436191,91,OrganizationName1-29436191,OrganizationName2-29436191,OrganizationName3-29436191,OrganizationName4-29436191,PersonFamilyName-29436191,PersonGivenName-29436191,x-29436191,POBoxDeviatingCityName-29436191,191,191,false,POBoxLobbyName-29436191,e-29436191,e-29436191,191,191,29436191,SecondaryRegionName-29436191,StreetName-29436191,StreetPrefixName1-29436191,StreetPrefixName2-29436191,StreetSuffixName1-29436191,StreetSuffixName2-29436191,iction-29436191,29436191,TertiaryRegionName-29436191,e-29436191,VillageName-29436191
n-29436192,n-29436192,2,AddresseeFullName-29436192,ernalSystem-29436192,D-29436192,SearchTerm1-29436192,SearchTerm2-29436192,436192,CareOfName-29436192,CityName-29436192,ber-29436192,e-29436192,192,r-29436192,6192,DistrictName-29436192,6192,r-29436192,t-29436192,92,OrganizationName1-29436192,OrganizationName2-29436192,OrganizationName3-29436192,OrganizationName4-29436192,PersonFamilyName-29436192,PersonGivenName-29436192,x-29436192,POBoxDeviatingCityName-29436192,192,192,true,POBoxLobbyName-29436192,e-29436192,e-29436192,192,192,29436192,SecondaryRegionName-29436192,StreetName-29436192,StreetPrefixName1-29436192,StreetPrefixName2-29436192,StreetSuffixName1-29436192,StreetSuffixName2-29436192,iction-29436192,29436192,TertiaryRegionName-29436192,e-29436192,VillageName-29436192
n-29436193,n-29436193,3,AddresseeFullName-29436193,ernalSystem-29436193,D-29436193,SearchTerm1-29436193,SearchTerm2-29436193,436193,CareOfName-29436193,CityName-29436193,ber-29436193,e-29436193,193,r-29436193,6193,DistrictName-29436193,6193,r-29436193,t-29436193,93,OrganizationName1-29436193,OrganizationName2-29436193,OrganizationName3-29436193,OrganizationName4-29436193,PersonFamilyName-29436193,PersonGivenName-29436193,x-29436193,POBoxDeviatingCityName-29436193,193,193,false,POBoxLobbyName-29436193,e-29436193,e-29436193,193,193,29436193,SecondaryRegionName-29436193,StreetName-29436193,StreetPrefixName1-29436193,StreetPrefixName2-29436193,StreetSuffixName1-29436193,StreetSuffixName2-29436193,iction-29436193,29436193,TertiaryRegionName-29436193,e-29436193,VillageName-29436193
n-29436194,n-29436194,4,AddresseeFullName-29436194,ernalSystem-29436194,D-29436194,SearchTerm1-29436194,SearchTerm2-29436194,436194,CareOfName-29436194,CityName-29436194,ber-29436194,e-29436194,194,r-29436194,6194,DistrictName-29436194,6194,r-29436194,t-29436194,94,OrganizationName1-29436194,OrganizationName2-29436194,OrganizationName3-29436194,OrganizationName4-29436194,PersonFamilyName-29436194,PersonGivenName-29436194,x-29436194,POBoxDeviatingCityName-29436194,194,194,true,POBoxLobbyName-29436194,e-29436194,e-29436194,194,194,29436194,SecondaryRegionName-29436194,StreetName-29436194,StreetPrefixName1-29436194,StreetPrefixName2-29436194,StreetSuffixName1-29436194,StreetSuffixName2-29436194,iction-29436194,29436194,TertiaryRegionName-29436194,e-29436194,VillageName-29436194
n-29436195,n-29436195,5,AddresseeFullName-29436195,ernalSystem-29436195,D-29436195,SearchTerm1-29436195,SearchTerm2-29436195,436195,CareOfName-29436195,CityName-29436195,ber-29436195,e-29436195,195,r-29436195,6195,DistrictName-29436195,6195,r-29436195,t-29436195,95,OrganizationName1-29436195,OrganizationName2-29436195,OrganizationName3-29436195,OrganizationName4-29436195,PersonFamilyName-29436195,PersonGivenName-29436195,x-29436195,POBoxDeviatingCityName-29436195,195,195,false,POBoxLobbyName-29436195,e-29436195,e-29436195,195,195,29436195,SecondaryRegionName-29436195,StreetName-29436195,StreetPrefixName1-29436195,StreetPrefixName2-29436195,StreetSuffixName1-29436195,StreetSuffixName2-29436195,iction-29436195,29436195,TertiaryRegionName-29436195,e-29436195,VillageName-29436195
n-29436196,n-29436196,6,AddresseeFullName-29436196,ernalSystem-29436196,D-29436196,SearchTerm1-29436196,SearchTerm2-29436196,436196,CareOfName-29436196,CityName-29436196,ber-29436196,e-29436196,196,r-29436196,6196,DistrictName-29436196,6196,r-29436196,t-29436196,96,OrganizationName1-29436196,OrganizationName2-29436196,OrganizationName3-29436196,OrganizationName4-29436196,PersonFamilyName-29436196,PersonGivenName-29436196,x-29436196,POBoxDeviatingCityName-29436196,196,196,true,POBoxLobbyName-29436196,e-29436196,e-29436196,196,196,29436196,SecondaryRegionName-29436196,StreetName-29436196,StreetPrefixName1-29436196,StreetPrefixName2-29436196,StreetSuffixName1-29436196,StreetSuffixName2-29436196,iction-29436196,29436196,TertiaryRegionName-29436196,e-29436196,VillageName-29436196
n-29436197,n-29436197,7,AddresseeFullName-29436197,ernalSystem-29436197,D-29436197,SearchTerm1-29436197,SearchTerm2-29436197,436197,CareOfName-29436197,CityName-29436197,ber-29436197,e-29436197,197,r-29436197,6197,DistrictName-29436197,6197,r-29436197,t-29436197,97,OrganizationName1-29436197,OrganizationName2-29436197,OrganizationName3-29436197,OrganizationName4-29436197,PersonFamilyName-29436197,PersonGivenName-29436197,x-29436197,POBoxDeviatingCityName-29436197,197,197,false,POBoxLobbyName-29436197,e-29436197,e-29436197,197,197,29436197,SecondaryRegionName-29436197,StreetName-29436197,StreetPrefixName1-29436197,StreetPrefixName2-29436197,StreetSuffixName1-29436197,StreetSuffixName2-29436197,iction-29436197,29436197,TertiaryRegionName-29436197,e-29436197,VillageName-29436197
