BusinessPartner,BPIdentificationType,BPIdentificationNumber,BPIdnNmbrIssuingInstitute,BPIdentificationEntryDate,Country,Region,ValidityStartDate,ValidityEndDate,AuthorizationGroup
n-12012042,012042,A_BuPaIdentification-12012042,BPIdnNmbrIssuingInstitute-12012042,2021-04-26,042,042,2012-12-09,2013-04-10,2042
n-12012043,012043,A_BuPaIdentification-12012043,BPIdnNmbrIssuingInstitute-12012043,2016-10-10,043,043,2016-07-31,2004-02-12,2043
n-12012044,012044,A_BuPaIdentification-12012044,BPIdnNmbrIssuingInstitute-12012044,2023-03-20,044,044,2016-12-18,2014-02-21,2044
n-12012045,012045,A_BuPaIdentification-12012045,BPIdnNmbrIssuingInstitute-12012045,2014-09-25,045,045,2018-12-31,2021-08-17,2045
n-12012046,012046,A_BuPaIdentification-12012046,BPIdnNmbrIssuingInstitute-12012046,2014-09-29,046,046,2007-02-16,2019-04-09,2046
n-12012047,012047,A_BuPaIdentification-12012047,BPIdnNmbrIssuingInstitute-12012047,2014-03-02,047,047,2019-03-20,2014-10-01,2047
n-12012048,012048,A_BuPaIdentification-12012048,BPIdnNmbrIssuingInstitute-12012048,2013-04-06,048,048,2020-05-29,2000-04-03,2048
n-12012049,012049,A_BuPaIdentification-12012049,BPIdnNmbrIssuingInstitute-12012049,2012-04-14,049,049,2001-08-26,2014-06-29,2049
n-12012050,012050,A_BuPaIdentification-12012050,BPIdnNmbrIssuingInstitute-12012050,2008-04-07,050,050,2007-04-13,2011-03-20,2050
n-12012051,012051,A_BuPaIdentification-12012051,BPIdnNmbrIssuingInstitute-12012051,2008-01-15,051,051,2021-12-28,2013-10-16,2051
