BusinessPartner,AddressID,BPTaxType,BPTaxNumber,BPTaxLongNumber,AuthorizationGroup
r-18572541,r-18572541,2541,BPTaxNumber-18572541,BPTaxLongNumber-18572541,2541
r-18572542,r-18572542,2542,BPTaxNumber-18572542,BPTaxLongNumber-18572542,2542
r-18572543,r-18572543,2543,BPTaxNumber-18572543,BPTaxLongNumber-18572543,2543
r-18572544,r-18572544,2544,BPTaxNumber-18572544,BPTaxLongNumber-18572544,2544
r-18572545,r-18572545,2545,BPTaxNumber-18572545,BPTaxLongNumber-18572545,2545
r-18572546,r-18572546,2546,BPTaxNumber-18572546,BPTaxLongNumber-18572546,2546
r-18572547,r-18572547,2547,BPTaxNumber-18572547,BPTaxLongNumber-18572547,2547
r-18572548,r-18572548,2548,BPTaxNumber-18572548,BPTaxLongNumber-18572548,2548
r-18572549,r-18572549,2549,BPTaxNumber-18572549,BPTaxLongNumber-18572549,2549
r-18572550,r-18572550,2550,BPTaxNumber-18572550,BPTaxLongNumber-18572550,2550
