BusinessPartner,Customer,Supplier,AcademicTitle,AuthorizationGroup,BusinessPartnerCategory,BusinessPartnerFullName,BusinessPartnerGrouping,BusinessPartnerName,BusinessPartnerUUID,CorrespondenceLanguage,CreatedByUser,CreationDate,CreationTime,FirstName,FormOfAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,IsFemale,IsMale,IsNaturalPerson,IsSexUnknown,GenderCodeName,Language,LastChangeDate,LastChangeTime,LastChangedByUser,LastName,LegalForm,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,OrganizationFoundationDate,OrganizationLiquidationDate,SearchTerm1,SearchTerm2,AdditionalLastName,BirthDate,BusinessPartnerBirthDateStatus,BusinessPartnerBirthplaceName,BusinessPartnerDeathDate,BusinessPartnerIsBlocked,BusinessPartnerType,ETag,GroupBusinessPartnerName1,GroupBusinessPartnerName2,IndependentAddressID,InternationalLocationNumber3,MiddleName,NameCountry,NameFormat,PersonFullName,PersonNumber,IsMarkedForArchiving,BusinessPartnerIDByExtSystem,BusinessPartnerPrintFormat,BusinessPartnerOccupation,BusPartMaritalStatus,BusPartNationality,BusinessPartnerBirthName,BusinessPartnerSupplementName,NaturalPersonEmployerName,LastNamePrefix,LastNameSecondPrefix,Initials,BPDataControllerIsNotRequired,TradingPartner,to_BPCreditWorthiness_BusinessPartner,to_BPFinServicesReporting_BusinessPartner,to_BusinessPartner_BusinessPartner,to_BusinessPartnerIsBank_BusinessPartner,to_Customer_Customer,to_Supplier_Supplier
er-4767861,er-4767861,er-4767861,7861,7861,1,BusinessPartnerFullName-4767861,7861,BusinessPartnerName-4767861,47678616-cc2e-4a1d-b086-98d3af9dc044,61,User-4767861,2021-03-17,22:59:53,FirstName-4767861,7861,ry-4767861,4767861,67861,false,false,1,false,1,61,2022-12-19,22:59:53,User-4767861,LastName-4767861,61,OrganizationBPName1-4767861,OrganizationBPName2-4767861,OrganizationBPName3-4767861,OrganizationBPName4-4767861,2000-05-13,2021-09-27,SearchTerm1-4767861,SearchTerm2-4767861,AdditionalLastName-4767861,2000-01-04,1,BusinessPartnerBirthplaceName-4767861,2020-04-18,false,7861,ETag-4767861,GroupBusinessPartnerName1-4767861,GroupBusinessPartnerName2-4767861,ID-4767861,1,MiddleName-4767861,861,61,PersonFullName-4767861,er-4767861,false,DByExtSystem-4767861,1,7861,1,861,BusinessPartnerBirthName-4767861,7861,NaturalPersonEmployerName-4767861,7861,7861,ls-4767861,false,767861,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767862,er-4767862,er-4767862,7862,7862,2,BusinessPartnerFullName-4767862,7862,BusinessPartnerName-4767862,4767862c-2098-4749-aca1-c1da5bfb5119,62,User-4767862,2010-09-25,22:59:53,FirstName-4767862,7862,ry-4767862,4767862,67862,true,true,2,true,2,62,2012-06-09,22:59:53,User-4767862,LastName-4767862,62,OrganizationBPName1-4767862,OrganizationBPName2-4767862,OrganizationBPName3-4767862,OrganizationBPName4-4767862,2005-09-09,2020-06-01,SearchTerm1-4767862,SearchTerm2-4767862,AdditionalLastName-4767862,2017-11-06,2,BusinessPartnerBirthplaceName-4767862,2007-09-23,true,7862,ETag-4767862,GroupBusinessPartnerName1-4767862,GroupBusinessPartnerName2-4767862,ID-4767862,2,MiddleName-4767862,862,62,PersonFullName-4767862,er-4767862,true,DByExtSystem-4767862,2,7862,2,862,BusinessPartnerBirthName-4767862,7862,NaturalPersonEmployerName-4767862,7862,7862,ls-4767862,true,767862,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767863,er-4767863,er-4767863,7863,7863,3,BusinessPartnerFullName-4767863,7863,BusinessPartnerName-4767863,4767863d-da07-4f01-a0cc-9e10b438474b,63,User-4767863,2023-06-21,22:59:53,FirstName-4767863,7863,ry-4767863,4767863,67863,false,false,3,false,3,63,2009-01-24,22:59:53,User-4767863,LastName-4767863,63,OrganizationBPName1-4767863,OrganizationBPName2-4767863,OrganizationBPName3-4767863,OrganizationBPName4-4767863,2010-11-07,2016-03-30,SearchTerm1-4767863,SearchTerm2-4767863,AdditionalLastName-4767863,2014-12-21,3,BusinessPartnerBirthplaceName-4767863,2012-03-15,false,7863,ETag-4767863,GroupBusinessPartnerName1-4767863,GroupBusinessPartnerName2-4767863,ID-4767863,3,MiddleName-4767863,863,63,PersonFullName-4767863,er-4767863,false,DByExtSystem-4767863,3,7863,3,863,BusinessPartnerBirthName-4767863,7863,NaturalPersonEmployerName-4767863,7863,7863,ls-4767863,false,767863,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767864,er-4767864,er-4767864,7864,7864,4,BusinessPartnerFullName-4767864,7864,BusinessPartnerName-4767864,4767864b-9b10-4802-917b-33c95647bc44,64,User-4767864,2020-02-28,22:59:53,FirstName-4767864,7864,ry-4767864,4767864,67864,true,true,4,true,4,64,2007-02-09,22:59:53,User-4767864,LastName-4767864,64,OrganizationBPName1-4767864,OrganizationBPName2-4767864,OrganizationBPName3-4767864,OrganizationBPName4-4767864,2006-05-04,2012-10-25,SearchTerm1-4767864,SearchTerm2-4767864,AdditionalLastName-4767864,2022-02-22,4,BusinessPartnerBirthplaceName-4767864,2007-10-16,true,7864,ETag-4767864,GroupBusinessPartnerName1-4767864,GroupBusinessPartnerName2-4767864,ID-4767864,4,MiddleName-4767864,864,64,PersonFullName-4767864,er-4767864,true,DByExtSystem-4767864,4,7864,4,864,BusinessPartnerBirthName-4767864,7864,NaturalPersonEmployerName-4767864,7864,7864,ls-4767864,true,767864,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767865,er-4767865,er-4767865,7865,7865,5,BusinessPartnerFullName-4767865,7865,BusinessPartnerName-4767865,47678655-507e-4555-a08e-0f705f37af06,65,User-4767865,2013-12-31,22:59:53,FirstName-4767865,7865,ry-4767865,4767865,67865,false,false,5,false,5,65,2021-08-16,22:59:53,User-4767865,LastName-4767865,65,OrganizationBPName1-4767865,OrganizationBPName2-4767865,OrganizationBPName3-4767865,OrganizationBPName4-4767865,2005-10-20,2006-03-22,SearchTerm1-4767865,SearchTerm2-4767865,AdditionalLastName-4767865,2005-10-29,5,BusinessPartnerBirthplaceName-4767865,2000-01-19,false,7865,ETag-4767865,GroupBusinessPartnerName1-4767865,GroupBusinessPartnerName2-4767865,ID-4767865,5,MiddleName-4767865,865,65,PersonFullName-4767865,er-4767865,false,DByExtSystem-4767865,5,7865,5,865,BusinessPartnerBirthName-4767865,7865,NaturalPersonEmployerName-4767865,7865,7865,ls-4767865,false,767865,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767866,er-4767866,er-4767866,7866,7866,6,BusinessPartnerFullName-4767866,7866,BusinessPartnerName-4767866,4767866c-5c6f-4a79-8a76-9d3f699b8430,66,User-4767866,2017-04-19,22:59:53,FirstName-4767866,7866,ry-4767866,4767866,67866,true,true,6,true,6,66,2007-03-10,22:59:53,User-4767866,LastName-4767866,66,OrganizationBPName1-4767866,OrganizationBPName2-4767866,OrganizationBPName3-4767866,OrganizationBPName4-4767866,2018-12-17,2000-11-20,SearchTerm1-4767866,SearchTerm2-4767866,AdditionalLastName-4767866,2019-08-27,6,BusinessPartnerBirthplaceName-4767866,2014-12-02,true,7866,ETag-4767866,GroupBusinessPartnerName1-4767866,GroupBusinessPartnerName2-4767866,ID-4767866,6,MiddleName-4767866,866,66,PersonFullName-4767866,er-4767866,true,DByExtSystem-4767866,6,7866,6,866,BusinessPartnerBirthName-4767866,7866,NaturalPersonEmployerName-4767866,7866,7866,ls-4767866,true,767866,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767867,er-4767867,er-4767867,7867,7867,7,BusinessPartnerFullName-4767867,7867,BusinessPartnerName-4767867,47678674-c1ba-42ff-868f-a9ff69deeed9,67,User-4767867,2004-05-31,22:59:53,FirstName-4767867,7867,ry-4767867,4767867,67867,false,false,7,false,7,67,2015-01-07,22:59:53,User-4767867,LastName-4767867,67,OrganizationBPName1-4767867,OrganizationBPName2-4767867,OrganizationBPName3-4767867,OrganizationBPName4-4767867,2012-12-01,2011-02-24,SearchTerm1-4767867,SearchTerm2-4767867,AdditionalLastName-4767867,2017-04-05,7,BusinessPartnerBirthplaceName-4767867,2010-04-16,false,7867,ETag-4767867,GroupBusinessPartnerName1-4767867,GroupBusinessPartnerName2-4767867,ID-4767867,7,MiddleName-4767867,867,67,PersonFullName-4767867,er-4767867,false,DByExtSystem-4767867,7,7867,7,867,BusinessPartnerBirthName-4767867,7867,NaturalPersonEmployerName-4767867,7867,7867,ls-4767867,false,767867,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767868,er-4767868,er-4767868,7868,7868,8,BusinessPartnerFullName-4767868,7868,BusinessPartnerName-4767868,4767868b-4864-43e6-9d96-b363d36f0bbe,68,User-4767868,2021-07-24,22:59:53,FirstName-4767868,7868,ry-4767868,4767868,67868,true,true,8,true,8,68,2021-10-05,22:59:53,User-4767868,LastName-4767868,68,OrganizationBPName1-4767868,OrganizationBPName2-4767868,OrganizationBPName3-4767868,OrganizationBPName4-4767868,2014-11-24,2020-06-06,SearchTerm1-4767868,SearchTerm2-4767868,AdditionalLastName-4767868,2016-03-20,8,BusinessPartnerBirthplaceName-4767868,2016-01-30,true,7868,ETag-4767868,GroupBusinessPartnerName1-4767868,GroupBusinessPartnerName2-4767868,ID-4767868,8,MiddleName-4767868,868,68,PersonFullName-4767868,er-4767868,true,DByExtSystem-4767868,8,7868,8,868,BusinessPartnerBirthName-4767868,7868,NaturalPersonEmployerName-4767868,7868,7868,ls-4767868,true,767868,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767869,er-4767869,er-4767869,7869,7869,9,BusinessPartnerFullName-4767869,7869,BusinessPartnerName-4767869,4767869f-4944-4a59-ad04-6fca95b4a75c,69,User-4767869,2000-10-25,22:59:53,FirstName-4767869,7869,ry-4767869,4767869,67869,false,false,9,false,9,69,2017-08-21,22:59:53,User-4767869,LastName-4767869,69,OrganizationBPName1-4767869,OrganizationBPName2-4767869,OrganizationBPName3-4767869,OrganizationBPName4-4767869,2012-02-07,2009-04-02,SearchTerm1-4767869,SearchTerm2-4767869,AdditionalLastName-4767869,2011-01-17,9,BusinessPartnerBirthplaceName-4767869,2004-02-01,false,7869,ETag-4767869,GroupBusinessPartnerName1-4767869,GroupBusinessPartnerName2-4767869,ID-4767869,9,MiddleName-4767869,869,69,PersonFullName-4767869,er-4767869,false,DByExtSystem-4767869,9,7869,9,869,BusinessPartnerBirthName-4767869,7869,NaturalPersonEmployerName-4767869,7869,7869,ls-4767869,false,767869,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
er-4767870,er-4767870,er-4767870,7870,7870,0,BusinessPartnerFullName-4767870,7870,BusinessPartnerName-4767870,4767870e-32f0-4e12-9296-d33137af9e60,70,User-4767870,2016-01-02,22:59:53,FirstName-4767870,7870,ry-4767870,4767870,67870,true,true,0,true,0,70,2020-06-11,22:59:53,User-4767870,LastName-4767870,70,OrganizationBPName1-4767870,OrganizationBPName2-4767870,OrganizationBPName3-4767870,OrganizationBPName4-4767870,2000-01-22,2023-02-20,SearchTerm1-4767870,SearchTerm2-4767870,AdditionalLastName-4767870,2012-08-21,0,BusinessPartnerBirthplaceName-4767870,2007-01-21,true,7870,ETag-4767870,GroupBusinessPartnerName1-4767870,GroupBusinessPartnerName2-4767870,ID-4767870,0,MiddleName-4767870,870,70,PersonFullName-4767870,er-4767870,true,DByExtSystem-4767870,0,7870,0,870,BusinessPartnerBirthName-4767870,7870,NaturalPersonEmployerName-4767870,7870,7870,ls-4767870,true,767870,s-12972004,g-25554493,n-11597667,k-24965064,er-6501970,r-20230540
