BusinessPartner,AddressID,ValidityStartDate,ValidityEndDate,AuthorizationGroup,AddressUUID,AdditionalStreetPrefixName,AdditionalStreetSuffixName,AddressTimeZone,CareOfName,CityCode,CityName,CompanyPostalCode,Country,County,DeliveryServiceNumber,DeliveryServiceTypeCode,District,FormOfAddress,FullName,HomeCityName,HouseNumber,HouseNumberSupplementText,Language,POBox,POBoxDeviatingCityName,POBoxDeviatingCountry,POBoxDeviatingRegion,POBoxIsWithoutNumber,POBoxLobbyName,POBoxPostalCode,Person,PostalCode,PrfrdCommMediumType,Region,StreetName,StreetPrefixName,StreetSuffixName,TaxJurisdiction,TransportZone,AddressIDByExternalSystem,CountyCode,TownshipCode,TownshipName,to_BPAddrDepdntIntlLocNumber_BusinessPartner,to_BPAddrDepdntIntlLocNumber_AddressID
ss-3372310,ss-3372310,2019-08-22T00:00:00.000Z,2013-03-08T00:00:00.000Z,2310,3372310a-e06d-49f9-9524-4debf68716f9,AdditionalStreetPrefixName-3372310,AdditionalStreetSuffixName-3372310,372310,CareOfName-3372310,Code-3372310,CityName-3372310,de-3372310,310,County-3372310,er-3372310,2310,District-3372310,2310,FullName-3372310,HomeCityName-3372310,er-3372310,xt-3372310,10,ox-3372310,POBoxDeviatingCityName-3372310,310,310,true,POBoxLobbyName-3372310,de-3372310,on-3372310,de-3372310,310,310,StreetName-3372310,StreetPrefixName-3372310,StreetSuffixName-3372310,diction-3372310,ne-3372310,ternalSystem-3372310,-3372310,-3372310,TownshipName-3372310,r-28057883,r-28057883
ss-3372311,ss-3372311,2017-06-09T00:00:00.000Z,2021-02-15T00:00:00.000Z,2311,33723113-23f9-47ef-bacb-6505900174d8,AdditionalStreetPrefixName-3372311,AdditionalStreetSuffixName-3372311,372311,CareOfName-3372311,Code-3372311,CityName-3372311,de-3372311,311,County-3372311,er-3372311,2311,District-3372311,2311,FullName-3372311,HomeCityName-3372311,er-3372311,xt-3372311,11,ox-3372311,POBoxDeviatingCityName-3372311,311,311,false,POBoxLobbyName-3372311,de-3372311,on-3372311,de-3372311,311,311,StreetName-3372311,StreetPrefixName-3372311,StreetSuffixName-3372311,diction-3372311,ne-3372311,ternalSystem-3372311,-3372311,-3372311,TownshipName-3372311,r-28057883,r-28057883
ss-3372312,ss-3372312,2008-02-07T00:00:00.000Z,2003-01-19T00:00:00.000Z,2312,3372312c-f83e-496f-9a57-4d1a60ebfc56,AdditionalStreetPrefixName-3372312,AdditionalStreetSuffixName-3372312,372312,CareOfName-3372312,Code-3372312,CityName-3372312,de-3372312,312,County-3372312,er-3372312,2312,District-3372312,2312,FullName-3372312,HomeCityName-3372312,er-3372312,xt-3372312,12,ox-3372312,POBoxDeviatingCityName-3372312,312,312,true,POBoxLobbyName-3372312,de-3372312,on-3372312,de-3372312,312,312,StreetName-3372312,StreetPrefixName-3372312,StreetSuffixName-3372312,diction-3372312,ne-3372312,ternalSystem-3372312,-3372312,-3372312,TownshipName-3372312,r-28057883,r-28057883
ss-3372313,ss-3372313,2021-11-28T00:00:00.000Z,2015-03-16T00:00:00.000Z,2313,3372313c-0499-4f9c-82cf-826e14fcc86a,AdditionalStreetPrefixName-3372313,AdditionalStreetSuffixName-3372313,372313,CareOfName-3372313,Code-3372313,CityName-3372313,de-3372313,313,County-3372313,er-3372313,2313,District-3372313,2313,FullName-3372313,HomeCityName-3372313,er-3372313,xt-3372313,13,ox-3372313,POBoxDeviatingCityName-3372313,313,313,false,POBoxLobbyName-3372313,de-3372313,on-3372313,de-3372313,313,313,StreetName-3372313,StreetPrefixName-3372313,StreetSuffixName-3372313,diction-3372313,ne-3372313,ternalSystem-3372313,-3372313,-3372313,TownshipName-3372313,r-28057883,r-28057883
ss-3372314,ss-3372314,2018-08-11T00:00:00.000Z,2010-07-06T00:00:00.000Z,2314,33723144-a5e8-4514-a870-e51fe062e99c,AdditionalStreetPrefixName-3372314,AdditionalStreetSuffixName-3372314,372314,CareOfName-3372314,Code-3372314,CityName-3372314,de-3372314,314,County-3372314,er-3372314,2314,District-3372314,2314,FullName-3372314,HomeCityName-3372314,er-3372314,xt-3372314,14,ox-3372314,POBoxDeviatingCityName-3372314,314,314,true,POBoxLobbyName-3372314,de-3372314,on-3372314,de-3372314,314,314,StreetName-3372314,StreetPrefixName-3372314,StreetSuffixName-3372314,diction-3372314,ne-3372314,ternalSystem-3372314,-3372314,-3372314,TownshipName-3372314,r-28057883,r-28057883
ss-3372315,ss-3372315,2022-05-15T00:00:00.000Z,2021-12-05T00:00:00.000Z,2315,33723151-d452-4d3a-849d-a1d8a9d316c9,AdditionalStreetPrefixName-3372315,AdditionalStreetSuffixName-3372315,372315,CareOfName-3372315,Code-3372315,CityName-3372315,de-3372315,315,County-3372315,er-3372315,2315,District-3372315,2315,FullName-3372315,HomeCityName-3372315,er-3372315,xt-3372315,15,ox-3372315,POBoxDeviatingCityName-3372315,315,315,false,POBoxLobbyName-3372315,de-3372315,on-3372315,de-3372315,315,315,StreetName-3372315,StreetPrefixName-3372315,StreetSuffixName-3372315,diction-3372315,ne-3372315,ternalSystem-3372315,-3372315,-3372315,TownshipName-3372315,r-28057883,r-28057883
ss-3372316,ss-3372316,2023-08-30T00:00:00.000Z,2016-04-24T00:00:00.000Z,2316,33723163-9443-4209-8493-f17a73d7e899,AdditionalStreetPrefixName-3372316,AdditionalStreetSuffixName-3372316,372316,CareOfName-3372316,Code-3372316,CityName-3372316,de-3372316,316,County-3372316,er-3372316,2316,District-3372316,2316,FullName-3372316,HomeCityName-3372316,er-3372316,xt-3372316,16,ox-3372316,POBoxDeviatingCityName-3372316,316,316,true,POBoxLobbyName-3372316,de-3372316,on-3372316,de-3372316,316,316,StreetName-3372316,StreetPrefixName-3372316,StreetSuffixName-3372316,diction-3372316,ne-3372316,ternalSystem-3372316,-3372316,-3372316,TownshipName-3372316,r-28057883,r-28057883
ss-3372317,ss-3372317,2012-04-20T00:00:00.000Z,2022-12-18T00:00:00.000Z,2317,33723175-aca5-4074-8a24-8d70ad035403,AdditionalStreetPrefixName-3372317,AdditionalStreetSuffixName-3372317,372317,CareOfName-3372317,Code-3372317,CityName-3372317,de-3372317,317,County-3372317,er-3372317,2317,District-3372317,2317,FullName-3372317,HomeCityName-3372317,er-3372317,xt-3372317,17,ox-3372317,POBoxDeviatingCityName-3372317,317,317,false,POBoxLobbyName-3372317,de-3372317,on-3372317,de-3372317,317,317,StreetName-3372317,StreetPrefixName-3372317,StreetSuffixName-3372317,diction-3372317,ne-3372317,ternalSystem-3372317,-3372317,-3372317,TownshipName-3372317,r-28057883,r-28057883
ss-3372318,ss-3372318,2022-03-11T00:00:00.000Z,2001-05-06T00:00:00.000Z,2318,3372318f-4eb5-47e7-835d-01f928e1e99b,AdditionalStreetPrefixName-3372318,AdditionalStreetSuffixName-3372318,372318,CareOfName-3372318,Code-3372318,CityName-3372318,de-3372318,318,County-3372318,er-3372318,2318,District-3372318,2318,FullName-3372318,HomeCityName-3372318,er-3372318,xt-3372318,18,ox-3372318,POBoxDeviatingCityName-3372318,318,318,true,POBoxLobbyName-3372318,de-3372318,on-3372318,de-3372318,318,318,StreetName-3372318,StreetPrefixName-3372318,StreetSuffixName-3372318,diction-3372318,ne-3372318,ternalSystem-3372318,-3372318,-3372318,TownshipName-3372318,r-28057883,r-28057883
ss-3372319,ss-3372319,2016-12-22T00:00:00.000Z,2002-09-27T00:00:00.000Z,2319,33723199-78d4-42a7-919c-9ec1d8f137a6,AdditionalStreetPrefixName-3372319,AdditionalStreetSuffixName-3372319,372319,CareOfName-3372319,Code-3372319,CityName-3372319,de-3372319,319,County-3372319,er-3372319,2319,District-3372319,2319,FullName-3372319,HomeCityName-3372319,er-3372319,xt-3372319,19,ox-3372319,POBoxDeviatingCityName-3372319,319,319,false,POBoxLobbyName-3372319,de-3372319,on-3372319,de-3372319,319,319,StreetName-3372319,StreetPrefixName-3372319,StreetSuffixName-3372319,diction-3372319,ne-3372319,ternalSystem-3372319,-3372319,-3372319,TownshipName-3372319,r-28057883,r-28057883
