BusinessPartner,PaymentCardID,PaymentCardType,CardNumber,IsStandardCard,CardDescription,ValidityDate,ValidityEndDate,CardHolder,CardIssuingBank,CardIssueDate,PaymentCardLock,MaskedCardNumber
rd-6855600,855600,5600,artnerPaymentCard-6855600,true,CardDescription-6855600,2008-12-12,2023-06-19,CardHolder-6855600,CardIssuingBank-6855600,2022-05-29,00,MaskedCardNumber-6855600
rd-6855601,855601,5601,artnerPaymentCard-6855601,false,CardDescription-6855601,2015-05-06,2003-12-01,CardHolder-6855601,CardIssuingBank-6855601,2010-10-08,01,MaskedCardNumber-6855601
rd-6855602,855602,5602,artnerPaymentCard-6855602,true,CardDescription-6855602,2001-03-10,2002-08-19,CardHolder-6855602,CardIssuingBank-6855602,2014-11-11,02,MaskedCardNumber-6855602
rd-6855603,855603,5603,artnerPaymentCard-6855603,false,CardDescription-6855603,2002-09-16,2007-12-22,CardHolder-6855603,CardIssuingBank-6855603,2018-12-05,03,MaskedCardNumber-6855603
rd-6855604,855604,5604,artnerPaymentCard-6855604,true,CardDescription-6855604,2004-09-06,2016-05-12,CardHolder-6855604,CardIssuingBank-6855604,2022-05-25,04,MaskedCardNumber-6855604
rd-6855605,855605,5605,artnerPaymentCard-6855605,false,CardDescription-6855605,2019-10-15,2022-06-01,CardHolder-6855605,CardIssuingBank-6855605,2002-05-17,05,MaskedCardNumber-6855605
rd-6855606,855606,5606,artnerPaymentCard-6855606,true,CardDescription-6855606,2002-10-10,2020-02-22,CardHolder-6855606,CardIssuingBank-6855606,2005-07-03,06,MaskedCardNumber-6855606
rd-6855607,855607,5607,artnerPaymentCard-6855607,false,CardDescription-6855607,2020-08-10,2023-11-06,CardHolder-6855607,CardIssuingBank-6855607,2002-12-29,07,MaskedCardNumber-6855607
rd-6855608,855608,5608,artnerPaymentCard-6855608,true,CardDescription-6855608,2019-11-20,2002-06-28,CardHolder-6855608,CardIssuingBank-6855608,2018-05-12,08,MaskedCardNumber-6855608
rd-6855609,855609,5609,artnerPaymentCard-6855609,false,CardDescription-6855609,2022-02-12,2000-12-10,CardHolder-6855609,CardIssuingBank-6855609,2006-04-28,09,MaskedCardNumber-6855609
