Customer,AuthorizationGroup,BillingIsBlockedForCustomer,CreatedByUser,CreationDate,CustomerAccountGroup,CustomerClassification,CustomerFullName,BPCustomerFullName,CustomerName,BPCustomerName,DeliveryIsBlocked,FreeDefinedAttribute01,FreeDefinedAttribute02,FreeDefinedAttribute03,FreeDefinedAttribute04,FreeDefinedAttribute05,FreeDefinedAttribute06,FreeDefinedAttribute07,FreeDefinedAttribute08,FreeDefinedAttribute09,FreeDefinedAttribute10,NFPartnerIsNaturalPerson,OrderIsBlockedForCustomer,PostingIsBlocked,Supplier,CustomerCorporateGroup,FiscalAddress,Industry,IndustryCode1,IndustryCode2,IndustryCode3,IndustryCode4,IndustryCode5,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,NielsenRegion,PaymentReason,ResponsibleType,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberType,VATRegistration,DeletionIndicator,ExpressTrainStationName,TrainStationName,CityCode,County
er-6501970,1970,70,User-6501970,2002-11-11,1970,70,CustomerFullName-6501970,BPCustomerFullName-6501970,CustomerName-6501970,BPCustomerName-6501970,70,70,70,70,70,70,970,970,970,970,970,0,70,true,er-6501970,up-6501970,ss-6501970,1970,e1-6501970,e2-6501970,e3-6501970,e4-6501970,e5-6501970,6501970,01970,0,70,1970,70,xNumber1-6501970,er2-6501970,TaxNumber3-6501970,TaxNumber4-6501970,TaxNumber5-6501970,70,Registration-6501970,true,sTrainStationName-6501970,TrainStationName-6501970,1970,970
r-19549974,9974,74,ser-19549974,2009-10-05,9974,74,CustomerFullName-19549974,BPCustomerFullName-19549974,CustomerName-19549974,BPCustomerName-19549974,74,74,74,74,74,74,974,974,974,974,974,4,74,true,r-19549974,p-19549974,s-19549974,9974,1-19549974,2-19549974,3-19549974,4-19549974,5-19549974,9549974,49974,4,74,9974,74,Number1-19549974,r2-19549974,axNumber3-19549974,axNumber4-19549974,TaxNumber5-19549974,74,egistration-19549974,true,TrainStationName-19549974,TrainStationName-19549974,9974,974
r-19549975,9975,75,ser-19549975,2022-12-20,9975,75,CustomerFullName-19549975,BPCustomerFullName-19549975,CustomerName-19549975,BPCustomerName-19549975,75,75,75,75,75,75,975,975,975,975,975,5,75,false,r-19549975,p-19549975,s-19549975,9975,1-19549975,2-19549975,3-19549975,4-19549975,5-19549975,9549975,49975,5,75,9975,75,Number1-19549975,r2-19549975,axNumber3-19549975,axNumber4-19549975,TaxNumber5-19549975,75,egistration-19549975,false,TrainStationName-19549975,TrainStationName-19549975,9975,975
r-19549976,9976,76,ser-19549976,2017-02-09,9976,76,CustomerFullName-19549976,BPCustomerFullName-19549976,CustomerName-19549976,BPCustomerName-19549976,76,76,76,76,76,76,976,976,976,976,976,6,76,true,r-19549976,p-19549976,s-19549976,9976,1-19549976,2-19549976,3-19549976,4-19549976,5-19549976,9549976,49976,6,76,9976,76,Number1-19549976,r2-19549976,axNumber3-19549976,axNumber4-19549976,TaxNumber5-19549976,76,egistration-19549976,true,TrainStationName-19549976,TrainStationName-19549976,9976,976
r-19549977,9977,77,ser-19549977,2005-06-16,9977,77,CustomerFullName-19549977,BPCustomerFullName-19549977,CustomerName-19549977,BPCustomerName-19549977,77,77,77,77,77,77,977,977,977,977,977,7,77,false,r-19549977,p-19549977,s-19549977,9977,1-19549977,2-19549977,3-19549977,4-19549977,5-19549977,9549977,49977,7,77,9977,77,Number1-19549977,r2-19549977,axNumber3-19549977,axNumber4-19549977,TaxNumber5-19549977,77,egistration-19549977,false,TrainStationName-19549977,TrainStationName-19549977,9977,977
r-19549978,9978,78,ser-19549978,2003-02-01,9978,78,CustomerFullName-19549978,BPCustomerFullName-19549978,CustomerName-19549978,BPCustomerName-19549978,78,78,78,78,78,78,978,978,978,978,978,8,78,true,r-19549978,p-19549978,s-19549978,9978,1-19549978,2-19549978,3-19549978,4-19549978,5-19549978,9549978,49978,8,78,9978,78,Number1-19549978,r2-19549978,axNumber3-19549978,axNumber4-19549978,TaxNumber5-19549978,78,egistration-19549978,true,TrainStationName-19549978,TrainStationName-19549978,9978,978
r-19549979,9979,79,ser-19549979,2002-11-02,9979,79,CustomerFullName-19549979,BPCustomerFullName-19549979,CustomerName-19549979,BPCustomerName-19549979,79,79,79,79,79,79,979,979,979,979,979,9,79,false,r-19549979,p-19549979,s-19549979,9979,1-19549979,2-19549979,3-19549979,4-19549979,5-19549979,9549979,49979,9,79,9979,79,Number1-19549979,r2-19549979,axNumber3-19549979,axNumber4-19549979,TaxNumber5-19549979,79,egistration-19549979,false,TrainStationName-19549979,TrainStationName-19549979,9979,979
r-19549980,9980,80,ser-19549980,2003-08-31,9980,80,CustomerFullName-19549980,BPCustomerFullName-19549980,CustomerName-19549980,BPCustomerName-19549980,80,80,80,80,80,80,980,980,980,980,980,0,80,true,r-19549980,p-19549980,s-19549980,9980,1-19549980,2-19549980,3-19549980,4-19549980,5-19549980,9549980,49980,0,80,9980,80,Number1-19549980,r2-19549980,axNumber3-19549980,axNumber4-19549980,TaxNumber5-19549980,80,egistration-19549980,true,TrainStationName-19549980,TrainStationName-19549980,9980,980
r-19549981,9981,81,ser-19549981,2003-06-12,9981,81,CustomerFullName-19549981,BPCustomerFullName-19549981,CustomerName-19549981,BPCustomerName-19549981,81,81,81,81,81,81,981,981,981,981,981,1,81,false,r-19549981,p-19549981,s-19549981,9981,1-19549981,2-19549981,3-19549981,4-19549981,5-19549981,9549981,49981,1,81,9981,81,Number1-19549981,r2-19549981,axNumber3-19549981,axNumber4-19549981,TaxNumber5-19549981,81,egistration-19549981,false,TrainStationName-19549981,TrainStationName-19549981,9981,981
r-19549982,9982,82,ser-19549982,2016-12-23,9982,82,CustomerFullName-19549982,BPCustomerFullName-19549982,CustomerName-19549982,BPCustomerName-19549982,82,82,82,82,82,82,982,982,982,982,982,2,82,true,r-19549982,p-19549982,s-19549982,9982,1-19549982,2-19549982,3-19549982,4-19549982,5-19549982,9549982,49982,2,82,9982,82,Number1-19549982,r2-19549982,axNumber3-19549982,axNumber4-19549982,TaxNumber5-19549982,82,egistration-19549982,true,TrainStationName-19549982,TrainStationName-19549982,9982,982
