Customer,CompanyCode,WithholdingTaxType,WithholdingTaxCode,WithholdingTaxAgent,ObligationDateBegin,ObligationDateEnd,WithholdingTaxNumber,WithholdingTaxCertificate,WithholdingTaxExmptPercent,ExemptionDateBegin,ExemptionDateEnd,ExemptionReason,AuthorizationGroup
x-17922271,2271,71,71,false,2020-03-30,2021-01-07,xNumber-17922271,ngTaxCertificate-17922271,62196.2,2016-08-27,2002-09-27,71,2271
x-17922272,2272,72,72,true,2005-10-04,2017-08-14,xNumber-17922272,ngTaxCertificate-17922272,22125.27,2020-08-26,2007-11-24,72,2272
x-17922273,2273,73,73,false,2007-02-18,2002-02-04,xNumber-17922273,ngTaxCertificate-17922273,3746.87,2009-10-29,2010-12-21,73,2273
x-17922274,2274,74,74,true,2006-11-18,2021-04-16,xNumber-17922274,ngTaxCertificate-17922274,16432.17,2010-08-19,2016-12-31,74,2274
x-17922275,2275,75,75,false,2002-12-24,2013-05-13,xNumber-17922275,ngTaxCertificate-17922275,89330.22,2017-02-24,2021-09-27,75,2275
x-17922276,2276,76,76,true,2004-07-03,2021-03-31,xNumber-17922276,ngTaxCertificate-17922276,88460.23,2001-04-08,2003-10-18,76,2276
x-17922277,2277,77,77,false,2021-06-13,2023-12-30,xNumber-17922277,ngTaxCertificate-17922277,38466.92,2007-07-19,2002-07-29,77,2277
x-17922278,2278,78,78,true,2003-03-31,2001-12-02,xNumber-17922278,ngTaxCertificate-17922278,8891.29,2010-06-06,2012-08-17,78,2278
x-17922279,2279,79,79,false,2000-05-12,2004-09-23,xNumber-17922279,ngTaxCertificate-17922279,70102.15,2010-12-13,2008-02-24,79,2279
x-17922280,2280,80,80,true,2023-06-16,2006-11-02,xNumber-17922280,ngTaxCertificate-17922280,93500.24,2007-10-08,2019-11-05,80,2280
