Supplier,AlternativePayeeAccountNumber,AuthorizationGroup,BusinessPartnerPanNumber,CreatedByUser,CreationDate,Customer,PaymentIsBlockedForSupplier,PostingIsBlocked,PurchasingIsBlocked,SupplierAccountGroup,SupplierFullName,SupplierName,VATRegistration,BirthDate,ConcatenatedInternationalLocNo,DeletionIndicator,FiscalAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,IsNaturalPerson,PaymentReason,ResponsibleType,SuplrQltyInProcmtCertfnValidTo,SuplrQualityManagementSystem,SupplierCorporateGroup,SupplierProcurementBlock,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberResponsible,TaxNumberType,SuplrProofOfDelivRlvtCode,BR_TaxIsSplit,DataExchangeInstructionKey
r-20230540,r-20230540,0540,BusinessPartnerPanNumber-20230540,ser-20230540,2000-10-23,r-20230540,true,true,true,0540,SupplierFullName-20230540,SupplierName-20230540,egistration-20230540,2003-02-18,tionalLocNo-20230540,true,s-20230540,0540,0230540,30540,0,0,0540,40,2020-10-06,0540,p-20230540,40,Number1-20230540,r2-20230540,axNumber3-20230540,axNumber4-20230540,TaxNumber5-20230540,sponsible-20230540,40,0,true,40
r-12434404,r-12434404,4404,BusinessPartnerPanNumber-12434404,ser-12434404,2023-12-17,r-12434404,true,true,true,4404,SupplierFullName-12434404,SupplierName-12434404,egistration-12434404,2019-05-12,tionalLocNo-12434404,true,s-12434404,4404,2434404,34404,4,4,4404,04,2002-10-04,4404,p-12434404,04,Number1-12434404,r2-12434404,axNumber3-12434404,axNumber4-12434404,TaxNumber5-12434404,sponsible-12434404,04,4,true,04
r-12434405,r-12434405,4405,BusinessPartnerPanNumber-12434405,ser-12434405,2022-06-13,r-12434405,false,false,false,4405,SupplierFullName-12434405,SupplierName-12434405,egistration-12434405,2014-01-09,tionalLocNo-12434405,false,s-12434405,4405,2434405,34405,5,5,4405,05,2018-04-28,4405,p-12434405,05,Number1-12434405,r2-12434405,axNumber3-12434405,axNumber4-12434405,TaxNumber5-12434405,sponsible-12434405,05,5,false,05
r-12434406,r-12434406,4406,BusinessPartnerPanNumber-12434406,ser-12434406,2012-08-30,r-12434406,true,true,true,4406,SupplierFullName-12434406,SupplierName-12434406,egistration-12434406,2000-03-03,tionalLocNo-12434406,true,s-12434406,4406,2434406,34406,6,6,4406,06,2000-04-21,4406,p-12434406,06,Number1-12434406,r2-12434406,axNumber3-12434406,axNumber4-12434406,TaxNumber5-12434406,sponsible-12434406,06,6,true,06
r-12434407,r-12434407,4407,BusinessPartnerPanNumber-12434407,ser-12434407,2011-07-25,r-12434407,false,false,false,4407,SupplierFullName-12434407,SupplierName-12434407,egistration-12434407,2012-02-23,tionalLocNo-12434407,false,s-12434407,4407,2434407,34407,7,7,4407,07,2022-07-12,4407,p-12434407,07,Number1-12434407,r2-12434407,axNumber3-12434407,axNumber4-12434407,TaxNumber5-12434407,sponsible-12434407,07,7,false,07
r-12434408,r-12434408,4408,BusinessPartnerPanNumber-12434408,ser-12434408,2006-06-09,r-12434408,true,true,true,4408,SupplierFullName-12434408,SupplierName-12434408,egistration-12434408,2006-04-27,tionalLocNo-12434408,true,s-12434408,4408,2434408,34408,8,8,4408,08,2011-04-06,4408,p-12434408,08,Number1-12434408,r2-12434408,axNumber3-12434408,axNumber4-12434408,TaxNumber5-12434408,sponsible-12434408,08,8,true,08
r-12434409,r-12434409,4409,BusinessPartnerPanNumber-12434409,ser-12434409,2022-06-17,r-12434409,false,false,false,4409,SupplierFullName-12434409,SupplierName-12434409,egistration-12434409,2001-08-08,tionalLocNo-12434409,false,s-12434409,4409,2434409,34409,9,9,4409,09,2014-01-16,4409,p-12434409,09,Number1-12434409,r2-12434409,axNumber3-12434409,axNumber4-12434409,TaxNumber5-12434409,sponsible-12434409,09,9,false,09
r-12434410,r-12434410,4410,BusinessPartnerPanNumber-12434410,ser-12434410,2012-11-29,r-12434410,true,true,true,4410,SupplierFullName-12434410,SupplierName-12434410,egistration-12434410,2010-12-11,tionalLocNo-12434410,true,s-12434410,4410,2434410,34410,0,0,4410,10,2020-06-26,4410,p-12434410,10,Number1-12434410,r2-12434410,axNumber3-12434410,axNumber4-12434410,TaxNumber5-12434410,sponsible-12434410,10,0,true,10
r-12434411,r-12434411,4411,BusinessPartnerPanNumber-12434411,ser-12434411,2010-09-09,r-12434411,false,false,false,4411,SupplierFullName-12434411,SupplierName-12434411,egistration-12434411,2000-08-03,tionalLocNo-12434411,false,s-12434411,4411,2434411,34411,1,1,4411,11,2018-09-22,4411,p-12434411,11,Number1-12434411,r2-12434411,axNumber3-12434411,axNumber4-12434411,TaxNumber5-12434411,sponsible-12434411,11,1,false,11
r-12434412,r-12434412,4412,BusinessPartnerPanNumber-12434412,ser-12434412,2004-11-12,r-12434412,true,true,true,4412,SupplierFullName-12434412,SupplierName-12434412,egistration-12434412,2001-06-16,tionalLocNo-12434412,true,s-12434412,4412,2434412,34412,2,2,4412,12,2008-03-08,4412,p-12434412,12,Number1-12434412,r2-12434412,axNumber3-12434412,axNumber4-12434412,TaxNumber5-12434412,sponsible-12434412,12,2,true,12
