SalesOrder,SalesOrderItem,PartnerFunction,AddressRepresentationCode,CorrespondenceLanguage,AddresseeFullName,OrganizationName1,OrganizationName2,OrganizationName3,OrganizationName4,CityName,DistrictName,PostalCode,StreetName,StreetPrefixName1,StreetPrefixName2,StreetSuffixName1,StreetSuffixName2,HouseNumber,Country,Region,FormOfAddress,TaxJurisdiction,TransportZone,POBox,POBoxPostalCode,EmailAddress,MobilePhoneCountry,MobileNumber,PhoneNumberCountry,PhoneNumber,PhoneExtensionNumber,FaxNumberCountry,FaxAreaCodeSubscriberNumber,FaxExtensionNumber,to_Partner_SalesOrder,to_Partner_SalesOrderItem,to_Partner_PartnerFunction,to_SalesOrder_SalesOrder,to_SalesOrderItem_SalesOrder,to_SalesOrderItem_SalesOrderItem
ss-2812190,812190,90,0,90,AddresseeFullName-2812190,OrganizationName1-2812190,OrganizationName2-2812190,OrganizationName3-2812190,OrganizationName4-2812190,CityName-2812190,DistrictName-2812190,de-2812190,StreetName-2812190,StreetPrefixName1-2812190,StreetPrefixName2-2812190,StreetSuffixName1-2812190,StreetSuffixName2-2812190,er-2812190,190,190,2190,diction-2812190,ne-2812190,ox-2812190,de-2812190,EmailAddress-2812190,190,MobileNumber-2812190,190,PhoneNumber-2812190,er-2812190,190,eaCodeSubscriberNumber-2812190,er-2812190,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812191,812191,91,1,91,AddresseeFullName-2812191,OrganizationName1-2812191,OrganizationName2-2812191,OrganizationName3-2812191,OrganizationName4-2812191,CityName-2812191,DistrictName-2812191,de-2812191,StreetName-2812191,StreetPrefixName1-2812191,StreetPrefixName2-2812191,StreetSuffixName1-2812191,StreetSuffixName2-2812191,er-2812191,191,191,2191,diction-2812191,ne-2812191,ox-2812191,de-2812191,EmailAddress-2812191,191,MobileNumber-2812191,191,PhoneNumber-2812191,er-2812191,191,eaCodeSubscriberNumber-2812191,er-2812191,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812192,812192,92,2,92,AddresseeFullName-2812192,OrganizationName1-2812192,OrganizationName2-2812192,OrganizationName3-2812192,OrganizationName4-2812192,CityName-2812192,DistrictName-2812192,de-2812192,StreetName-2812192,StreetPrefixName1-2812192,StreetPrefixName2-2812192,StreetSuffixName1-2812192,StreetSuffixName2-2812192,er-2812192,192,192,2192,diction-2812192,ne-2812192,ox-2812192,de-2812192,EmailAddress-2812192,192,MobileNumber-2812192,192,PhoneNumber-2812192,er-2812192,192,eaCodeSubscriberNumber-2812192,er-2812192,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812193,812193,93,3,93,AddresseeFullName-2812193,OrganizationName1-2812193,OrganizationName2-2812193,OrganizationName3-2812193,OrganizationName4-2812193,CityName-2812193,DistrictName-2812193,de-2812193,StreetName-2812193,StreetPrefixName1-2812193,StreetPrefixName2-2812193,StreetSuffixName1-2812193,StreetSuffixName2-2812193,er-2812193,193,193,2193,diction-2812193,ne-2812193,ox-2812193,de-2812193,EmailAddress-2812193,193,MobileNumber-2812193,193,PhoneNumber-2812193,er-2812193,193,eaCodeSubscriberNumber-2812193,er-2812193,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812194,812194,94,4,94,AddresseeFullName-2812194,OrganizationName1-2812194,OrganizationName2-2812194,OrganizationName3-2812194,OrganizationName4-2812194,CityName-2812194,DistrictName-2812194,de-2812194,StreetName-2812194,StreetPrefixName1-2812194,StreetPrefixName2-2812194,StreetSuffixName1-2812194,StreetSuffixName2-2812194,er-2812194,194,194,2194,diction-2812194,ne-2812194,ox-2812194,de-2812194,EmailAddress-2812194,194,MobileNumber-2812194,194,PhoneNumber-2812194,er-2812194,194,eaCodeSubscriberNumber-2812194,er-2812194,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812195,812195,95,5,95,AddresseeFullName-2812195,OrganizationName1-2812195,OrganizationName2-2812195,OrganizationName3-2812195,OrganizationName4-2812195,CityName-2812195,DistrictName-2812195,de-2812195,StreetName-2812195,StreetPrefixName1-2812195,StreetPrefixName2-2812195,StreetSuffixName1-2812195,StreetSuffixName2-2812195,er-2812195,195,195,2195,diction-2812195,ne-2812195,ox-2812195,de-2812195,EmailAddress-2812195,195,MobileNumber-2812195,195,PhoneNumber-2812195,er-2812195,195,eaCodeSubscriberNumber-2812195,er-2812195,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812196,812196,96,6,96,AddresseeFullName-2812196,OrganizationName1-2812196,OrganizationName2-2812196,OrganizationName3-2812196,OrganizationName4-2812196,CityName-2812196,DistrictName-2812196,de-2812196,StreetName-2812196,StreetPrefixName1-2812196,StreetPrefixName2-2812196,StreetSuffixName1-2812196,StreetSuffixName2-2812196,er-2812196,196,196,2196,diction-2812196,ne-2812196,ox-2812196,de-2812196,EmailAddress-2812196,196,MobileNumber-2812196,196,PhoneNumber-2812196,er-2812196,196,eaCodeSubscriberNumber-2812196,er-2812196,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812197,812197,97,7,97,AddresseeFullName-2812197,OrganizationName1-2812197,OrganizationName2-2812197,OrganizationName3-2812197,OrganizationName4-2812197,CityName-2812197,DistrictName-2812197,de-2812197,StreetName-2812197,StreetPrefixName1-2812197,StreetPrefixName2-2812197,StreetSuffixName1-2812197,StreetSuffixName2-2812197,er-2812197,197,197,2197,diction-2812197,ne-2812197,ox-2812197,de-2812197,EmailAddress-2812197,197,MobileNumber-2812197,197,PhoneNumber-2812197,er-2812197,197,eaCodeSubscriberNumber-2812197,er-2812197,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812198,812198,98,8,98,AddresseeFullName-2812198,OrganizationName1-2812198,OrganizationName2-2812198,OrganizationName3-2812198,OrganizationName4-2812198,CityName-2812198,DistrictName-2812198,de-2812198,StreetName-2812198,StreetPrefixName1-2812198,StreetPrefixName2-2812198,StreetSuffixName1-2812198,StreetSuffixName2-2812198,er-2812198,198,198,2198,diction-2812198,ne-2812198,ox-2812198,de-2812198,EmailAddress-2812198,198,MobileNumber-2812198,198,PhoneNumber-2812198,er-2812198,198,eaCodeSubscriberNumber-2812198,er-2812198,er-7164450,164450,50,r-16838406,m-20069686,069686
ss-2812199,812199,99,9,99,AddresseeFullName-2812199,OrganizationName1-2812199,OrganizationName2-2812199,OrganizationName3-2812199,OrganizationName4-2812199,CityName-2812199,DistrictName-2812199,de-2812199,StreetName-2812199,StreetPrefixName1-2812199,StreetPrefixName2-2812199,StreetSuffixName1-2812199,StreetSuffixName2-2812199,er-2812199,199,199,2199,diction-2812199,ne-2812199,ox-2812199,de-2812199,EmailAddress-2812199,199,MobileNumber-2812199,199,PhoneNumber-2812199,er-2812199,199,eaCodeSubscriberNumber-2812199,er-2812199,er-7164450,164450,50,r-16838406,m-20069686,069686
