SalesOrder,PartnerFunction,AddressRepresentationCode,CorrespondenceLanguage,AddresseeFullName,OrganizationName1,OrganizationName2,OrganizationName3,OrganizationName4,CityName,DistrictName,PostalCode,StreetPrefixName1,StreetPrefixName2,StreetName,StreetSuffixName1,StreetSuffixName2,HouseNumber,Country,Region,FormOfAddress,TaxJurisdiction,TransportZone,POBox,POBoxPostalCode,EmailAddress,MobilePhoneCountry,MobileNumber,PhoneNumberCountry,PhoneNumber,PhoneExtensionNumber,FaxNumberCountry,FaxAreaCodeSubscriberNumber,FaxExtensionNumber,to_Partner_SalesOrder,to_Partner_PartnerFunction,to_SalesOrder_SalesOrder
s-16172086,86,6,86,AddresseeFullName-16172086,OrganizationName1-16172086,OrganizationName2-16172086,OrganizationName3-16172086,OrganizationName4-16172086,CityName-16172086,DistrictName-16172086,e-16172086,StreetPrefixName1-16172086,StreetPrefixName2-16172086,StreetName-16172086,StreetSuffixName1-16172086,StreetSuffixName2-16172086,r-16172086,086,086,2086,iction-16172086,e-16172086,x-16172086,e-16172086,EmailAddress-16172086,086,MobileNumber-16172086,086,PhoneNumber-16172086,r-16172086,086,aCodeSubscriberNumber-16172086,r-16172086,r-12050005,05,r-16838406
s-16172087,87,7,87,AddresseeFullName-16172087,OrganizationName1-16172087,OrganizationName2-16172087,OrganizationName3-16172087,OrganizationName4-16172087,CityName-16172087,DistrictName-16172087,e-16172087,StreetPrefixName1-16172087,StreetPrefixName2-16172087,StreetName-16172087,StreetSuffixName1-16172087,StreetSuffixName2-16172087,r-16172087,087,087,2087,iction-16172087,e-16172087,x-16172087,e-16172087,EmailAddress-16172087,087,MobileNumber-16172087,087,PhoneNumber-16172087,r-16172087,087,aCodeSubscriberNumber-16172087,r-16172087,r-12050005,05,r-16838406
s-16172088,88,8,88,AddresseeFullName-16172088,OrganizationName1-16172088,OrganizationName2-16172088,OrganizationName3-16172088,OrganizationName4-16172088,CityName-16172088,DistrictName-16172088,e-16172088,StreetPrefixName1-16172088,StreetPrefixName2-16172088,StreetName-16172088,StreetSuffixName1-16172088,StreetSuffixName2-16172088,r-16172088,088,088,2088,iction-16172088,e-16172088,x-16172088,e-16172088,EmailAddress-16172088,088,MobileNumber-16172088,088,PhoneNumber-16172088,r-16172088,088,aCodeSubscriberNumber-16172088,r-16172088,r-12050005,05,r-16838406
s-16172089,89,9,89,AddresseeFullName-16172089,OrganizationName1-16172089,OrganizationName2-16172089,OrganizationName3-16172089,OrganizationName4-16172089,CityName-16172089,DistrictName-16172089,e-16172089,StreetPrefixName1-16172089,StreetPrefixName2-16172089,StreetName-16172089,StreetSuffixName1-16172089,StreetSuffixName2-16172089,r-16172089,089,089,2089,iction-16172089,e-16172089,x-16172089,e-16172089,EmailAddress-16172089,089,MobileNumber-16172089,089,PhoneNumber-16172089,r-16172089,089,aCodeSubscriberNumber-16172089,r-16172089,r-12050005,05,r-16838406
s-16172090,90,0,90,AddresseeFullName-16172090,OrganizationName1-16172090,OrganizationName2-16172090,OrganizationName3-16172090,OrganizationName4-16172090,CityName-16172090,DistrictName-16172090,e-16172090,StreetPrefixName1-16172090,StreetPrefixName2-16172090,StreetName-16172090,StreetSuffixName1-16172090,StreetSuffixName2-16172090,r-16172090,090,090,2090,iction-16172090,e-16172090,x-16172090,e-16172090,EmailAddress-16172090,090,MobileNumber-16172090,090,PhoneNumber-16172090,r-16172090,090,aCodeSubscriberNumber-16172090,r-16172090,r-12050005,05,r-16838406
s-16172091,91,1,91,AddresseeFullName-16172091,OrganizationName1-16172091,OrganizationName2-16172091,OrganizationName3-16172091,OrganizationName4-16172091,CityName-16172091,DistrictName-16172091,e-16172091,StreetPrefixName1-16172091,StreetPrefixName2-16172091,StreetName-16172091,StreetSuffixName1-16172091,StreetSuffixName2-16172091,r-16172091,091,091,2091,iction-16172091,e-16172091,x-16172091,e-16172091,EmailAddress-16172091,091,MobileNumber-16172091,091,PhoneNumber-16172091,r-16172091,091,aCodeSubscriberNumber-16172091,r-16172091,r-12050005,05,r-16838406
s-16172092,92,2,92,AddresseeFullName-16172092,OrganizationName1-16172092,OrganizationName2-16172092,OrganizationName3-16172092,OrganizationName4-16172092,CityName-16172092,DistrictName-16172092,e-16172092,StreetPrefixName1-16172092,StreetPrefixName2-16172092,StreetName-16172092,StreetSuffixName1-16172092,StreetSuffixName2-16172092,r-16172092,092,092,2092,iction-16172092,e-16172092,x-16172092,e-16172092,EmailAddress-16172092,092,MobileNumber-16172092,092,PhoneNumber-16172092,r-16172092,092,aCodeSubscriberNumber-16172092,r-16172092,r-12050005,05,r-16838406
s-16172093,93,3,93,AddresseeFullName-16172093,OrganizationName1-16172093,OrganizationName2-16172093,OrganizationName3-16172093,OrganizationName4-16172093,CityName-16172093,DistrictName-16172093,e-16172093,StreetPrefixName1-16172093,StreetPrefixName2-16172093,StreetName-16172093,StreetSuffixName1-16172093,StreetSuffixName2-16172093,r-16172093,093,093,2093,iction-16172093,e-16172093,x-16172093,e-16172093,EmailAddress-16172093,093,MobileNumber-16172093,093,PhoneNumber-16172093,r-16172093,093,aCodeSubscriberNumber-16172093,r-16172093,r-12050005,05,r-16838406
s-16172094,94,4,94,AddresseeFullName-16172094,OrganizationName1-16172094,OrganizationName2-16172094,OrganizationName3-16172094,OrganizationName4-16172094,CityName-16172094,DistrictName-16172094,e-16172094,StreetPrefixName1-16172094,StreetPrefixName2-16172094,StreetName-16172094,StreetSuffixName1-16172094,StreetSuffixName2-16172094,r-16172094,094,094,2094,iction-16172094,e-16172094,x-16172094,e-16172094,EmailAddress-16172094,094,MobileNumber-16172094,094,PhoneNumber-16172094,r-16172094,094,aCodeSubscriberNumber-16172094,r-16172094,r-12050005,05,r-16838406
s-16172095,95,5,95,AddresseeFullName-16172095,OrganizationName1-16172095,OrganizationName2-16172095,OrganizationName3-16172095,OrganizationName4-16172095,CityName-16172095,DistrictName-16172095,e-16172095,StreetPrefixName1-16172095,StreetPrefixName2-16172095,StreetName-16172095,StreetSuffixName1-16172095,StreetSuffixName2-16172095,r-16172095,095,095,2095,iction-16172095,e-16172095,x-16172095,e-16172095,EmailAddress-16172095,095,MobileNumber-16172095,095,PhoneNumber-16172095,r-16172095,095,aCodeSubscriberNumber-16172095,r-16172095,r-12050005,05,r-16838406
