SalesOrder,PaymentPlanItem,PaymentPlan,ElectronicPaymentType,ElectronicPayment,EPaytValidityStartDate,EPaytValidityEndDate,ElectronicPaymentHolderName,AuthorizedAmountInAuthznCrcy,AuthorizationCurrency,AuthorizationByDigitalPaytSrvc,AuthorizationByAcquirer,AuthorizationDate,AuthorizationTime,AuthorizationStatusName,EPaytByDigitalPaymentSrvc,ElectronicPaymentCallStatus,EPaytAuthorizationResult,EPaytToBeAuthorizedAmount,EPaytAuthorizationIsExpired,EPaytAmountIsChanged,PreauthorizationIsRequested,PaymentServiceProvider,PaymentByPaymentServicePrvdr,TransactionByPaytSrvcPrvdr,MerchantByClearingHouse,PaymentCardAuthznRelationID,MaximumToBeAuthorizedAmount,PaytPlnForAuthorizationItem,PaytPlnItmForAuthorizationItem,to_SalesOrder_SalesOrder
ls-2433620,433620,an-2433620,3620,ElectronicPayment-2433620,2003-09-17,2003-07-05,ElectronicPaymentHolderName-2433620,1624813.735,33620,vc-2433620,cquirer-2433620,2022-12-13,22:59:53,AuthorizationStatusName-2433620,igitalPaymentSrvc-2433620,0,0,22380587.201,true,true,true,3620,PaymentByPaymentServicePrvdr-2433620,TransactionByPaytSrvcPrvdr-2433620,ngHouse-2433620,PaymentCardAuthznRelationID-2433620,24395651.119,em-2433620,433620,r-16838406
ls-2433621,433621,an-2433621,3621,ElectronicPayment-2433621,2009-02-16,2000-12-13,ElectronicPaymentHolderName-2433621,16122432.153,33621,vc-2433621,cquirer-2433621,2006-06-07,22:59:53,AuthorizationStatusName-2433621,igitalPaymentSrvc-2433621,1,1,21703081.12,false,false,false,3621,PaymentByPaymentServicePrvdr-2433621,TransactionByPaytSrvcPrvdr-2433621,ngHouse-2433621,PaymentCardAuthznRelationID-2433621,17733747.133,em-2433621,433621,r-16838406
ls-2433622,433622,an-2433622,3622,ElectronicPayment-2433622,2021-07-04,2015-11-25,ElectronicPaymentHolderName-2433622,22918303.113,33622,vc-2433622,cquirer-2433622,2019-09-18,22:59:53,AuthorizationStatusName-2433622,igitalPaymentSrvc-2433622,2,2,24287319.738,true,true,true,3622,PaymentByPaymentServicePrvdr-2433622,TransactionByPaytSrvcPrvdr-2433622,ngHouse-2433622,PaymentCardAuthznRelationID-2433622,835159.167,em-2433622,433622,r-16838406
ls-2433623,433623,an-2433623,3623,ElectronicPayment-2433623,2004-04-27,2016-12-26,ElectronicPaymentHolderName-2433623,25079800.127,33623,vc-2433623,cquirer-2433623,2000-04-11,22:59:53,AuthorizationStatusName-2433623,igitalPaymentSrvc-2433623,3,3,7625535.256,false,false,false,3623,PaymentByPaymentServicePrvdr-2433623,TransactionByPaytSrvcPrvdr-2433623,ngHouse-2433623,PaymentCardAuthznRelationID-2433623,14487827.249,em-2433623,433623,r-16838406
ls-2433624,433624,an-2433624,3624,ElectronicPayment-2433624,2020-06-25,2008-12-04,ElectronicPaymentHolderName-2433624,22466666.124,33624,vc-2433624,cquirer-2433624,2023-11-01,22:59:53,AuthorizationStatusName-2433624,igitalPaymentSrvc-2433624,4,4,20075759.624,true,true,true,3624,PaymentByPaymentServicePrvdr-2433624,TransactionByPaytSrvcPrvdr-2433624,ngHouse-2433624,PaymentCardAuthznRelationID-2433624,16966334.166,em-2433624,433624,r-16838406
ls-2433625,433625,an-2433625,3625,ElectronicPayment-2433625,2016-07-15,2010-06-15,ElectronicPaymentHolderName-2433625,27234108.154,33625,vc-2433625,cquirer-2433625,2008-01-26,22:59:53,AuthorizationStatusName-2433625,igitalPaymentSrvc-2433625,5,5,21548164.151,false,false,false,3625,PaymentByPaymentServicePrvdr-2433625,TransactionByPaytSrvcPrvdr-2433625,ngHouse-2433625,PaymentCardAuthznRelationID-2433625,7493607.373,em-2433625,433625,r-16838406
ls-2433626,433626,an-2433626,3626,ElectronicPayment-2433626,2019-01-10,2021-09-17,ElectronicPaymentHolderName-2433626,8510631.101,33626,vc-2433626,cquirer-2433626,2022-01-13,22:59:53,AuthorizationStatusName-2433626,igitalPaymentSrvc-2433626,6,6,20888468.353,true,true,true,3626,PaymentByPaymentServicePrvdr-2433626,TransactionByPaytSrvcPrvdr-2433626,ngHouse-2433626,PaymentCardAuthznRelationID-2433626,31562863.289,em-2433626,433626,r-16838406
ls-2433627,433627,an-2433627,3627,ElectronicPayment-2433627,2018-03-28,2012-12-15,ElectronicPaymentHolderName-2433627,6431423.169,33627,vc-2433627,cquirer-2433627,2021-05-05,22:59:53,AuthorizationStatusName-2433627,igitalPaymentSrvc-2433627,7,7,20086052.233,false,false,false,3627,PaymentByPaymentServicePrvdr-2433627,TransactionByPaytSrvcPrvdr-2433627,ngHouse-2433627,PaymentCardAuthznRelationID-2433627,10598724.831,em-2433627,433627,r-16838406
ls-2433628,433628,an-2433628,3628,ElectronicPayment-2433628,2000-04-17,2019-06-26,ElectronicPaymentHolderName-2433628,10791426.567,33628,vc-2433628,cquirer-2433628,2013-09-05,22:59:53,AuthorizationStatusName-2433628,igitalPaymentSrvc-2433628,8,8,9924131.194,true,true,true,3628,PaymentByPaymentServicePrvdr-2433628,TransactionByPaytSrvcPrvdr-2433628,ngHouse-2433628,PaymentCardAuthznRelationID-2433628,21872790.504,em-2433628,433628,r-16838406
ls-2433629,433629,an-2433629,3629,ElectronicPayment-2433629,2002-02-23,2022-02-16,ElectronicPaymentHolderName-2433629,7022122.526,33629,vc-2433629,cquirer-2433629,2002-08-07,22:59:53,AuthorizationStatusName-2433629,igitalPaymentSrvc-2433629,9,9,1749802.815,false,false,false,3629,PaymentByPaymentServicePrvdr-2433629,TransactionByPaytSrvcPrvdr-2433629,ngHouse-2433629,PaymentCardAuthznRelationID-2433629,14688411.135,em-2433629,433629,r-16838406
